Student_ID,Attendance,Assignment_Score,Midterm_Score,Final_Score,Result
S001,82.5,55.1,80.1,67.4,Pass
S002,72.9,59.9,46.6,52.1,Pass
S003,84.7,83.5,82.4,60.6,Pass
S004,97.8,81.0,92.1,85.6,Pass
S005,71.5,69.6,73.3,63.8,Pass
S006,71.5,72.1,100.0,60.9,Pass
S007,98.7,93.0,49.5,32.8,Pass
S008,86.5,59.4,40.1,74.9,Pass
S009,68.0,79.8,29.4,72.9,Pass
S010,83.1,66.4,94.9,100.0,Pass
S011,68.0,66.1,78.1,53.8,Pass
S012,68.0,89.8,63.9,64.4,Pass
S013,78.6,84.9,70.6,65.0,Pass
S014,46.3,84.6,42.5,91.5,Pass
S015,49.1,93.5,100.0,58.1,Pass
S016,66.6,70.4,67.6,65.6,Pass
S017,59.8,82.3,67.2,72.2,Pass
S018,79.7,64.4,79.5,63.7,Pass
S019,61.4,75.8,74.6,51.1,Pass
S020,53.8,67.7,69.5,63.9,Pass
S021,97.0,71.7,49.2,81.5,Pass
S022,71.6,80.7,74.4,39.5,Pass
S023,76.0,55.3,100.0,62.7,Pass
S024,53.6,100.0,91.9,46.0,Pass
S025,66.8,51.9,96.9,83.9,Pass
S026,76.7,48.1,54.8,29.5,Fail
S027,57.7,90.8,45.2,48.8,Pass
S028,80.6,84.2,62.5,67.5,Pass
S029,66.0,81.2,66.1,91.3,Pass
S030,70.6,81.3,86.9,58.7,Pass
S031,66.0,69.8,31.2,48.9,Fail
S032,100.0,53.8,95.6,97.6,Pass
S033,74.8,71.4,61.8,31.0,Pass
S034,59.1,57.8,56.5,16.0,Pass
S035,87.3,87.6,44.8,68.8,Pass
S036,56.7,67.4,31.9,50.0,Pass
S037,78.1,55.1,81.5,39.6,Pass
S038,45.6,64.2,66.5,74.2,Pass
S039,55.1,77.4,39.2,64.9,Pass
S040,78.0,59.9,39.1,48.7,Pass
S041,86.1,55.2,58.3,34.4,Pass
S042,77.6,74.4,98.4,77.4,Pass
S043,73.3,74.4,59.8,73.0,Pass
S044,70.5,60.9,34.9,58.0,Fail
S045,52.8,61.5,60.1,96.9,Pass
S046,64.2,74.2,59.5,38.6,Pass
S047,68.1,43.9,11.1,29.5,Fail
S048,90.9,44.7,63.9,46.2,Pass
S049,80.2,57.1,60.4,59.1,Pass
S050,48.6,66.2,78.9,64.9,Pass
S051,79.9,75.6,100.0,55.2,Pass
S052,69.2,96.6,87.5,67.0,Pass
S053,64.8,85.4,59.6,35.0,Fail
S054,84.2,67.1,42.9,88.9,Pass
S055,90.5,69.7,100.0,58.4,Pass
S056,89.0,52.0,66.2,82.3,Pass
S057,62.4,69.7,65.3,66.9,Pass
S058,70.4,64.8,64.5,69.1,Pass
S059,80.0,75.8,69.0,71.4,Pass
S060,89.6,55.1,62.1,69.0,Pass
S061,67.8,79.3,53.5,72.9,Pass
S062,72.2,97.6,54.1,86.6,Pass
S063,58.4,68.0,64.3,63.9,Pass
S064,57.1,77.2,54.1,74.2,Pass
S065,87.2,82.4,50.7,58.2,Pass
S066,95.3,62.8,67.1,88.8,Pass
S067,73.9,74.0,59.9,46.5,Pass
S068,90.1,70.2,95.1,96.0,Pass
S069,80.4,71.8,12.0,59.2,Fail
S070,65.3,56.1,86.8,31.4,Pass
S071,80.4,70.4,89.9,62.6,Pass
S072,98.1,79.0,23.5,46.4,Pass
S073,74.5,96.1,58.1,76.8,Pass
S074,98.5,87.3,57.6,46.9,Pass
S075,35.7,100.0,36.8,51.1,Fail
S076,87.3,56.2,49.4,22.2,Fail
S077,76.3,,42.8,51.0,Pass
S078,70.5,73.3,100.0,11.5,Pass
S079,76.4,100.0,83.7,28.3,Pass
S080,45.2,55.5,90.4,75.2,Pass
S081,71.7,54.9,79.4,75.7,Pass
S082,80.4,59.2,42.4,68.5,Pass
S083,97.2,31.8,54.5,40.7,Pass
S084,67.2,60.5,74.8,59.0,Pass
S085,62.9,56.3,40.6,59.9,Pass
S086,67.5,72.7,79.3,36.8,Pass
S087,88.7,76.2,60.2,90.1,Pass
S088,79.9,100.0,57.5,77.5,Pass
S089,67.1,87.1,79.2,55.6,Pass
S090,82.7,59.6,73.9,60.5,Pass
S091,76.5,53.8,57.8,64.2,Pass
S092,89.5,78.9,88.2,19.2,Pass
S093,64.5,46.2,43.4,55.1,Pass
S094,70.1,100.0,77.3,46.4,Pass
S095,69.1,91.2,76.9,40.0,Pass
S096,53.0,61.6,58.8,54.4,Pass
S097,79.4,39.2,71.5,96.0,Pass
S098,78.9,94.4,40.0,72.8,Pass
S099,75.1,67.9,83.5,48.6,Pass
S100,71.5,92.3,61.3,71.5,Pass
S101,53.8,41.3,54.5,88.0,Pass
S102,68.7,59.2,86.0,78.5,Pass
S103,69.9,70.1,50.9,61.2,Pass
S104,63.0,70.8,36.8,47.1,Fail
S105,72.6,61.9,33.9,74.0,Pass
S106,81.1,81.2,77.1,67.9,Pass
S107,100.0,50.8,39.4,77.9,Pass
S108,77.6,67.4,100.0,72.7,Pass
S109,78.9,72.2,23.4,81.0,Pass
S110,,79.3,98.9,49.3,Pass
S111,46.2,82.8,69.2,86.3,Pass
S112,74.6,49.8,63.1,64.0,Pass
S113,75.9,42.4,54.1,100.0,Pass
S114,100.0,93.0,73.0,46.2,Pass
S115,72.1,76.0,64.2,94.7,Pass
S116,79.5,56.5,87.1,64.0,Pass
S117,74.5,97.9,67.3,47.0,Pass
S118,57.5,72.1,68.0,50.3,Pass
S119,92.1,91.2,57.7,53.6,Pass
S120,86.3,71.2,63.9,68.5,Pass
S121,86.9,100.0,71.2,70.5,Pass
S122,61.4,100.0,30.8,48.5,Pass
S123,96.0,65.5,38.0,59.5,Pass
S124,54.0,87.5,79.9,100.0,Pass
S125,83.8,81.6,68.4,94.6,Pass
S126,100.0,94.6,61.3,68.7,Pass
S127,60.1,52.6,65.4,60.8,Pass
S128,66.5,82.3,72.0,62.4,Pass
S129,76.5,89.1,54.2,72.3,Pass
S130,67.4,38.3,49.4,39.5,Fail
S131,51.7,48.7,68.9,54.9,Pass
S132,76.0,33.3,45.4,26.6,Fail
S133,59.1,65.2,73.2,68.0,Pass
S134,82.1,82.9,30.9,72.9,Pass
S135,61.2,97.0,85.6,50.3,Pass
S136,98.2,71.3,74.5,91.5,Pass
S137,63.3,99.3,70.1,35.5,Pass
S138,70.2,45.2,84.7,30.7,Pass
S139,87.2,39.3,98.3,64.5,Pass
S140,56.5,69.0,85.3,80.9,Pass
S141,78.4,76.9,28.2,93.7,Pass
S142,94.6,69.4,39.4,50.8,Pass
S143,50.9,32.8,52.5,81.6,Pass
S144,77.8,68.4,65.5,59.2,Pass
S145,78.9,46.5,75.4,56.5,Pass
S146,86.7,82.1,50.5,77.7,Pass
S147,56.4,76.6,68.7,73.0,Pass
S148,55.2,53.1,49.9,28.5,Fail
S149,82.8,60.8,52.8,89.5,Pass
S150,79.5,50.9,36.9,87.6,Pass
S151,78.8,68.9,46.5,47.5,Pass
S152,80.2,87.2,38.0,67.9,Pass
S153,64.8,52.3,45.5,69.9,Pass
S154,78.5,79.1,86.1,65.2,Pass
S155,79.4,60.5,46.0,49.0,Pass
S156,64.3,55.7,100.0,46.6,Pass
S157,100.0,68.1,74.9,59.5,Pass
S158,82.1,51.4,68.7,83.5,Pass
S159,57.1,60.0,47.8,70.9,Pass
S160,84.8,48.4,79.0,52.6,Pass
S161,60.4,100.0,53.5,75.4,Pass
S162,86.8,70.6,67.4,3.0,Pass
S163,92.4,57.4,100.0,83.0,Pass
S164,62.7,73.9,63.1,25.2,Fail
S165,89.5,68.0,88.0,52.8,Pass
S166,81.2,66.0,50.9,37.6,Pass
S167,87.3,81.1,64.3,34.1,Pass
S168,100.0,83.6,100.0,83.2,Pass
S169,71.3,60.5,52.5,50.6,Pass
S170,63.7,59.6,100.0,66.9,Pass
S171,61.7,65.0,79.2,59.1,Pass
S172,62.8,28.6,53.8,,Pass
S173,73.8,42.7,77.6,61.5,Pass
